"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[111]",-2.81655248049032,0.0518586471680279,-2.9193797910174,-2.8499244875282,-2.81614715897838,-2.78166991702777,-2.71670774758133,1.00158889291388,1800
"mu[112]",-4.43534113057236,0.0913736564027892,-4.61222461559231,-4.49899134034419,-4.43479769431408,-4.37390636208283,-4.26141873503695,1.00292824336707,830
"mu[113]",-4.01991364136655,0.0879905626684119,-4.19331017391349,-4.07998678083232,-4.01837742272294,-3.96062038821917,-3.85085653112981,1.00160574858246,1800
"mu[114]",-3.5751636805017,0.0859958425102348,-3.73777849368913,-3.63396268452207,-3.57483517838206,-3.51662097607577,-3.40530400371516,1.00104434952336,3000
"mu[115]",-3.1952525378162,0.0852131923188806,-3.35658250837341,-3.25416821911809,-3.19502680191433,-3.13705796638959,-3.02885739372893,1.00158736278003,2100
"mu[116]",-3.13847665125636,0.0847779041794909,-3.29777971012175,-3.19567336956184,-3.13924030156986,-3.08040027089069,-2.96686135124551,1.00136244275327,2300
"mu[117]",-3.1367885912102,0.0849851855101472,-3.29687618535251,-3.19583134334247,-3.13559184991767,-3.07967874813663,-2.9709423398484,1.00176294989377,1800
"mu[118]",-3.40793637198772,0.0864675362487409,-3.57103454745917,-3.46870447728259,-3.40880324422997,-3.34802230322975,-3.23683300727698,1.00107672568858,3000
"mu[119]",-3.79214201359676,0.0879468125789112,-3.95490597675665,-3.85349820252862,-3.79287545063619,-3.73007284889565,-3.6242668884567,1.00112412513754,3000
"mu[120]",-4.12630021054755,0.0922420652633445,-4.30312968036479,-4.19002074532637,-4.12565490684328,-4.06314157122322,-3.94319963981876,1.00128555943259,2500
"mu[121]",-4.37110870974432,0.133994807918315,-4.62769286622593,-4.46087918168929,-4.36839981671774,-4.28057647866078,-4.11789963290028,1.0015930097326,1800
"mu[122]",-4.00839058470046,0.134119228512121,-4.27175020124142,-4.09490158393123,-4.00999533114887,-3.91795746432521,-3.74914502075463,1.00179808744511,1500
"mu[123]",-3.51218151242061,0.132674674595805,-3.7710608358144,-3.5990329261751,-3.51220585390742,-3.42465781397694,-3.25536857690297,1.00170046101075,1700
"mu[124]",-3.3152963251533,0.12916118769175,-3.56655112058515,-3.40222790240361,-3.31527502725881,-3.2293150982244,-3.06293331367094,1.0017276534895,1600
"mu[125]",-3.30654428613577,0.130894980428158,-3.56623199227922,-3.39192937286895,-3.30790581738344,-3.22170004683206,-3.05371690732881,1.00163168981717,1800
"mu[126]",-3.23583535672053,0.130642625372464,-3.49342916071171,-3.32171496601029,-3.23506187969331,-3.15097661070219,-2.97897695700854,1.00118576455811,2900
"mu[127]",-3.52136321995701,0.131551404339659,-3.77330839693619,-3.60726865151802,-3.52160429972982,-3.43752104218067,-3.26261817010648,1.00200717998976,1300
"mu[128]",-3.87827353655575,0.133412696696631,-4.13663455334312,-3.96601553931667,-3.8772483338589,-3.7897459477695,-3.61911952173921,1.001765150528,1600
"mu[129]",-4.23093443057038,0.135599621683411,-4.49919934248131,-4.31999899898042,-4.2302938919737,-4.14100303189873,-3.97076772493955,1.00284054801335,860
"mu[130]",-3.89551212703007,0.102083567832968,-4.09180279189599,-3.96497314516319,-3.89530792306878,-3.82824826100672,-3.68558013780458,1.00208119443623,1300
"mu[131]",-3.46863820467931,0.10065073031479,-3.66047424019548,-3.54049322893136,-3.46927133205221,-3.40184032225258,-3.26898027459742,1.00127272994882,2600
"mu[132]",-3.13604756080074,0.0975860538695666,-3.32414250173758,-3.20146913728921,-3.13924937574953,-3.06934570824305,-2.9409368497611,1.00128956107636,2500
"mu[133]",-2.84183013423896,0.0962229897222294,-3.02867930185763,-2.90668759457082,-2.84333364737885,-2.77688368612886,-2.64894015616805,1.0014306632014,2100
"mu[134]",-2.6788390521791,0.096163396316254,-2.85950987485031,-2.7458273042107,-2.68058545123964,-2.61340257110622,-2.48288571730897,1.00163941666808,1800
"mu[135]",-2.60556379741705,0.0962058516371682,-2.79226125335847,-2.67020476001892,-2.60710353606464,-2.53954481392196,-2.41425543315167,1.00243656730702,1000
"mu[136]",-2.82859375273659,0.0971697612094034,-3.0171120300397,-2.89548220831879,-2.82909135507392,-2.76539830387726,-2.63271063480605,1.00124091756522,2700
"mu[137]",-3.03954912052183,0.0980386695393473,-3.22701111304031,-3.10528001178701,-3.04149712820212,-2.97364244443448,-2.84067613558151,1.00156787663028,1900
"mu[138]",-3.50838264449507,0.101303632080818,-3.70197621336164,-3.57682006335618,-3.50982589894164,-3.44348012978101,-3.30399877605568,1.00078588157834,3000
"mu[139]",-4.93891897947177,0.155803635381987,-5.25427948322434,-5.04408521546511,-4.93817944219194,-4.83244139755905,-4.64229952893514,1.00059765504352,3000
"mu[140]",-4.65946951779077,0.155158388258128,-4.96448690409408,-4.76071396133361,-4.65994691162422,-4.55694436055927,-4.35945496708172,1.00052986231658,3000
"mu[141]",-4.24325567714649,0.152797911829986,-4.54571226451583,-4.3404688930436,-4.24324562501847,-4.14159481313066,-3.94177463442878,1.00063391197234,3000
"mu[142]",-3.83614359346084,0.152585597735239,-4.14356327099188,-3.93654579685756,-3.83638122447538,-3.72943584730236,-3.54340550229746,1.00059129898941,3000
"mu[143]",-3.81196097572308,0.152291605661584,-4.11385331887802,-3.91059186236892,-3.81288904902426,-3.71129801405113,-3.52056118391587,1.00062327062688,3000
"mu[144]",-3.99164053656975,0.152777474286391,-4.28745512532532,-4.09307296458919,-3.99247323839467,-3.89068766006925,-3.69329642919153,1.00070020167086,3000
"mu[145]",-4.24175788287513,0.153195411737742,-4.54723460745891,-4.3425167311676,-4.24050529513583,-4.13997233699669,-3.94667460180648,1.0005914603093,3000
"mu[146]",-4.8254224533899,0.15701711794628,-5.13305632039279,-4.92944226777139,-4.82711923023014,-4.71550864256593,-4.52672138669498,1.00056754642174,3000
"mu[147]",-5.20031542611089,0.160682508981276,-5.52493895513521,-5.30750646063078,-5.20003878740573,-5.09117519831667,-4.88554434241977,1.00066679625192,3000
"mu[148]",-4.81785601404028,0.161513488242663,-5.14194640859284,-4.92379268068154,-4.8167290353656,-4.70827531120198,-4.513288695796,1.00050574772993,3000
"mu[149]",-4.64695404260198,0.159079985399747,-4.96139960866953,-4.75096844082498,-4.64356813324191,-4.54503651179795,-4.33708539330451,1.00068235615957,3000
"mu[150]",-4.26937826636831,0.155916740506824,-4.57673063530761,-4.37351706857161,-4.26973434463878,-4.16517496716808,-3.97475418121093,1.00085123587033,3000
"mu[151]",-4.14029885256049,0.154063728416792,-4.44204079274673,-4.24362668638869,-4.14154862041649,-4.03740486364264,-3.83889163498082,1.00072953660983,3000
"mu[152]",-4.01803537052879,0.156000616457807,-4.3224239354829,-4.12025357880539,-4.01518111177137,-3.91676078585503,-3.71942818680191,1.00074025963261,3000
"mu[153]",-4.0429586888049,0.155715221298304,-4.3517923214919,-4.14634121504532,-4.0440993247744,-3.93912187492012,-3.73078111166486,1.00072155269395,3000
"mu[154]",-4.37965014792718,0.156798481101919,-4.68514822456727,-4.48423020400976,-4.37936121339861,-4.27566569775304,-4.06258453910487,1.00087539296973,3000
"mu[155]",-4.71586012519804,0.158683322088677,-5.02954676603152,-4.82254605419562,-4.71459836002481,-4.60934979912832,-4.39963416742231,1.00080663396416,3000
"mu[156]",-5.06567953297983,0.161361133521891,-5.37762147205379,-5.17453137299801,-5.06488808258474,-4.96055712931776,-4.74460300143877,1.00110770686392,3000
"mu[157]",-5.08789292598022,0.806007404126737,-6.65034835367642,-5.63334723922261,-5.09097242067979,-4.54468105957461,-3.52332249266873,1.00283895929851,860
