age_group,year,median,lower,upper,age_group_cat,STATEFIP,bpl,no_mig,prop_mig,pop,state_fip,state,origin_original,origin,df,se,se_log,se_logit
45,2006,0.01276141320229582,0.009175677321078886,0.01730840802333777,45-49,1,200,708,0.004173174972738793,169655,01,Alabama,Mexico,Mexico,2.2,0.0034259589418719665,0.8209478309085996,0.8243881468910278
45,2007,0.013584417121653404,0.010174406215074792,0.01819526625947868,45-49,1,200,2975,0.017777326290125964,167348,01,Alabama,Mexico,Mexico,2.2,0.007070794482254686,0.39774229076180073,0.40494106011574793
45,2008,0.013598977457440823,0.01033650927043912,0.018218312021402203,45-49,1,200,2931,0.017224256171878213,170167,01,Alabama,Mexico,Mexico,2.2,0.006903988501726946,0.4008294136381335,0.40785440234495124
45,2009,0.013542632490156888,0.01030258803131464,0.01826865212635028,45-49,1,200,1953,0.011881079699961675,164379,01,Alabama,Mexico,Mexico,2,0.0053181059840490316,0.44761133822426813,0.45299338877991807
45,2010,0.014316230417230607,0.011126387134425073,0.019350021149648074,45-49,1,200,3497,0.020567079733457234,170029,01,Alabama,Mexico,Mexico,2,0.006849513991605298,0.3330328894705911,0.34002623618160555
45,2011,0.014799433742143741,0.01145504437101513,0.019988376986885284,45-49,1,200,3217,0.019312274129837072,166578,01,Alabama,Mexico,Mexico,2,0.006709974192711541,0.34744609296658474,0.35428820388090027
45,2012,0.014805647363586603,0.011450379844195923,0.019994091515875757,45-49,1,200,2916,0.01831543244771057,159210,01,Alabama,Mexico,Mexico,1.9,0.006353025486667326,0.3468673483306945,0.3533389031423463
45,2013,0.014993968688265906,0.011210706329547718,0.020282741893850053,45-49,1,200,1332,0.008468380263333566,157291,01,Alabama,Mexico,Mexico,1.9,0.004367900345524873,0.5157893492852499,0.5201945545843858
45,2014,0.016277521444323814,0.012367336236157803,0.02214131671453749,45-49,1,200,1911,0.01289412780772838,148207,01,Alabama,Mexico,Mexico,1.9,0.005540062868634538,0.4296578218585656,0.43527025212030696
45,2015,0.017504081670691132,0.013526595553941203,0.023872745609002443,45-49,1,200,3256,0.021731150429483884,149831,01,Alabama,Mexico,Mexico,1.9,0.007120997456597827,0.32768617012269935,0.3349653525884644
45,2016,0.018311572742843344,0.014121287439487313,0.025319607114735035,45-49,1,200,3808,0.02521203132965658,151039,01,Alabama,Mexico,Mexico,1.9,0.007625804138735179,0.30246686746597234,0.31028990630501047
45,2017,0.017862920973669653,0.012847481482005577,0.026238241646102067,45-49,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
45,2018,0.017998046702459625,0.012508218565830696,0.02720555381809977,45-49,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
50,2001,0.008121644423159756,0.0059920154291861,0.010664657863506054,50-54,1,200,994,0.006913387907830768,143779,01,Alabama,Mexico,Mexico,2.9,0.009061805016530831,1.3107618344786585,1.319886723391862
50,2002,0.007799051823665742,0.0055652929941679904,0.010413263955877244,50-54,1,200,146,0.001022079722218333,142846,01,Alabama,Mexico,Mexico,2.9,0.003505982185556274,3.430243364917613,3.4337529341627286
50,2003,0.0075879159015017576,0.005296760291274444,0.010485816667637149,50-54,1,200,685,0.004902697557239889,139719,01,Alabama,Mexico,Mexico,2.9,0.007749006188293847,1.5805597016382888,1.58834688603651
50,2004,0.007562537470497829,0.005206533374331093,0.01059600073054144,50-54,1,200,583,0.004042182917443788,144229,01,Alabama,Mexico,Mexico,2.9,0.00692828227318824,1.7139952383870782,1.720951639706848
50,2005,0.007977162112004825,0.0054472926615824965,0.011079433734420992,50-54,1,200,87,5.550345461157151e-4,156747,01,Alabama,Mexico,Mexico,2.2,0.001302207250730895,2.3461733325323633,2.3474762629544896
50,2006,0.008164704102404496,0.005731896491473974,0.011139702901610624,50-54,1,200,937,0.006183185957502969,151540,01,Alabama,Mexico,Mexico,2.2,0.004407942906580115,0.7128918549233199,0.7173272225326183
50,2007,0.00840733101924834,0.0058560723450793925,0.011381552171964227,50-54,1,200,832,0.005233263933879723,158983,01,Alabama,Mexico,Mexico,2.2,0.003961064193381729,0.7569012844427975,0.7608831869831317
50,2008,0.008271616010902967,0.005801568341933573,0.01124072747466622,50-54,1,200,494,0.0031056095858977666,159067,01,Alabama,Mexico,Mexico,2.2,0.0030538537752892573,0.9833347337529074,0.9863981011513545
50,2009,0.008493933679207899,0.006042935702848854,0.011451060918610709,50-54,1,200,1961,0.01210463939161996,162004,01,Alabama,Mexico,Mexico,2,0.005406498975236369,0.44664684343915995,0.45211958801395674
50,2010,0.008570912860735334,0.0061360254260264665,0.011514230815193038,50-54,1,200,1087,0.006561513433898939,165663,01,Alabama,Mexico,Mexico,2,0.003947365433030162,0.6015937440037495,0.6055671811983105
